班级,年级,专业,班号,人数,院系,课程数,教师数
2022级机械工程2班,2022,机械工程,2,42,自动化工程系(学院),6,5
2022级机械电子工程1班,2022,机械电子工程,1,40,自动化工程系(学院),3,5
2022级机械电子工程2班,2022,机械电子工程,2,20,自动化工程系(学院),3,3
2022级机械电子工程3班,2022,机械电子工程,3,25,自动化工程系(学院),3,3
2022级核工程与核技术1班,2022,核工程与核技术,1,36,核工程与新能源技术系(学院),2,2
2022级核工程与核技术2班,2022,核工程与核技术,2,35,核工程与新能源技术系(学院),2,2
2022级核工程与核技术3班,2022,核工程与核技术,3,62,核工程与新能源技术系(学院),4,3
2022级核工程与核技术4班,2022,核工程与核技术,4,59,核工程与新能源技术系(学院),4,3
2022级核工程与核技术5班,2022,核工程与核技术,5,28,核工程与新能源技术系(学院),1,1
2022级核工程与核技术6班,2022,核工程与核技术,6,25,核工程与新能源技术系(学院),1,1
2022级水利水电工程1班,2022,水利水电工程,1,44,核工程与新能源技术系(学院),4,3
2022级水利水电工程2班,2022,水利水电工程,2,53,核工程与新能源技术系(学院),4,3
2022级水利水电工程3班,2022,水利水电工程,3,51,核工程与新能源技术系(学院),4,3
2022级物流管理1班,2022,物流管理,1,41,管理与传媒系(学院),4,2
2022级物联网工程1班,2022,物联网工程,1,30,电子信息与计算机工程系(学院),1,2
2022级物联网工程2班,2022,物联网工程,2,35,电子信息与计算机工程系(学院),1,2
2022级环境工程1班,2022,环境工程,1,50,核工程与新能源技术系(学院),8,10
2022级环境工程2班,2022,环境工程,2,47,核工程与新能源技术系(学院),8,9
2022级环境设计1班,2022,环境设计,1,38,艺术设计系(学院),1,1
2022级环境设计2班,2022,环境设计,2,39,艺术设计系(学院),1,1
2022级环境设计3班,2022,环境设计,3,24,艺术设计系(学院),1,1
2022级环境设计4班,2022,环境设计,4,21,艺术设计系(学院),1,1
2022级电子信息工程1班,2022,电子信息工程,1,52,电子信息与计算机工程系(学院),1,2
2022级电子商务(本)1班,2022,电子商务(本),1,44,管理与传媒系(学院),4,3
2022级电子商务（本）2班,2022,电子商务（本）,2,28,管理与传媒系(学院),4,3
2022级电子商务（本）3班,2022,电子商务（本）,3,24,管理与传媒系(学院),4,3
2022级电子科学与技术1班,2022,电子科学与技术,1,48,电子信息与计算机工程系(学院),1,2
2022级电子科学与技术2班,2022,电子科学与技术,2,52,电子信息与计算机工程系(学院),1,2
2022级电气创新1班,2022,电气创新,1,31,自动化工程系(学院),2,1
2022级电气工程及其自动化1班,2022,电气工程及其自动化,1,33,自动化工程系(学院),5,6
2022级电气工程及其自动化2班,2022,电气工程及其自动化,2,27,自动化工程系(学院),5,6
2022级电气工程及其自动化3班,2022,电气工程及其自动化,3,26,自动化工程系(学院),5,6
2022级电气工程及其自动化4班,2022,电气工程及其自动化,4,24,自动化工程系(学院),5,6
2022级电气工程及其自动化5班,2022,电气工程及其自动化,5,34,自动化工程系(学院),5,7
2022级电气工程及其自动化6班,2022,电气工程及其自动化,6,33,自动化工程系(学院),5,7
2022级电气工程及其自动化7班,2022,电气工程及其自动化,7,37,自动化工程系(学院),5,6
2022级电气工程及其自动化8班,2022,电气工程及其自动化,8,41,自动化工程系(学院),5,6
2022级税收学1班,2022,税收学,1,48,经济系(学院),3,4
2022级网络与新媒体1班,2022,网络与新媒体,1,39,管理与传媒系(学院),2,2
2022级网络与新媒体2班,2022,网络与新媒体,2,40,管理与传媒系(学院),2,2
2022级网络与新媒体3班,2022,网络与新媒体,3,39,管理与传媒系(学院),2,1
2022级网络与新媒体4班,2022,网络与新媒体,4,39,管理与传媒系(学院),2,1
2022级能源与动力工程1班,2022,能源与动力工程,1,49,核工程与新能源技术系(学院),3,7
2022级能源与动力工程2班,2022,能源与动力工程,2,20,核工程与新能源技术系(学院),3,7
2022级自动化1班,2022,自动化,1,32,自动化工程系(学院),2,1
2022级自动化2班,2022,自动化,2,37,自动化工程系(学院),2,1
2022级自动化3班,2022,自动化,3,47,自动化工程系(学院),7,4
2022级英语1班,2022,英语,1,45,外语系(学院),3,3
2022级英语2班,2022,英语,2,44,外语系(学院),3,3
2022级英语3班,2022,英语,3,40,外语系(学院),3,3
2022级英语4班,2022,英语,4,42,外语系(学院),3,3
2022级视觉传达设计1班,2022,视觉传达设计,1,38,艺术设计系(学院),2,2
2022级视觉传达设计2班,2022,视觉传达设计,2,38,艺术设计系(学院),2,2
2022级视觉传达设计3班,2022,视觉传达设计,3,20,艺术设计系(学院),2,2
2022级视觉传达设计4班,2022,视觉传达设计,4,21,艺术设计系(学院),2,2
2022级计算机科学与技术1班,2022,计算机科学与技术,1,48,电子信息与计算机工程系(学院),1,2
2022级计算机科学与技术2班,2022,计算机科学与技术,2,46,电子信息与计算机工程系(学院),1,2
2022级计算机科学与技术3班,2022,计算机科学与技术,3,46,电子信息与计算机工程系(学院),1,2
2022级计算机科学与技术4班,2022,计算机科学与技术,4,46,电子信息与计算机工程系(学院),1,2
2022级计算机科学与技术5班,2022,计算机科学与技术,5,37,电子信息与计算机工程系(学院),1,2
2022级计算机科学与技术6班,2022,计算机科学与技术,6,36,电子信息与计算机工程系(学院),1,2
2022级财务管理1班,2022,财务管理,1,46,经济系(学院),4,4
2022级财务管理2班,2022,财务管理,2,50,经济系(学院),4,5
2022级财务管理3班,2022,财务管理,3,24,经济系(学院),4,4
2022级财务管理4班,2022,财务管理,4,23,经济系(学院),4,4
2022级软件工程1班,2022,软件工程,1,52,电子信息与计算机工程系(学院),1,2
2022级软件工程2班,2022,软件工程,2,50,电子信息与计算机工程系(学院),1,2
2022级软件工程3班,2022,软件工程,3,48,电子信息与计算机工程系(学院),1,2
2022级软件工程4班,2022,软件工程,4,45,电子信息与计算机工程系(学院),1,2
2022级软件工程5班,2022,软件工程,5,47,电子信息与计算机工程系(学院),1,2
2022级通信工程1班,2022,通信工程,1,49,电子信息与计算机工程系(学院),1,2
2023级产品设计1班,2023,产品设计,1,38,艺术设计系(学院),7,7
2023级产品设计2班,2023,产品设计,2,37,艺术设计系(学院),7,9
2023级人工智能1班,2023,人工智能,1,47,电子信息与计算机工程系(学院),9,10
2023级休闲体育专业1班,2023,休闲体育专业,1,34,体育系(学院),11,11
2023级休闲体育专业2班,2023,休闲体育专业,2,33,体育系(学院),11,11
2023级会计学1班,2023,会计学,1,43,经济系(学院),8,9
2023级会计学2班,2023,会计学,2,47,经济系(学院),8,8
2023级会计学3班,2023,会计学,3,47,经济系(学院),8,8
2023级会计学4班,2023,会计学,4,47,经济系(学院),8,8
2023级会计学5班,2023,会计学,5,38,经济系(学院),8,8
2023级会计学6班,2023,会计学,6,39,经济系(学院),8,8
2023级会计学7班,2023,会计学,7,21,经济系(学院),6,7
2023级会计学8班,2023,会计学,8,18,经济系(学院),6,7
2023级会计学（数字创新）1班,2023,会计学（数字创新）,1,52,经济系(学院),8,7
2023级动漫设计1班,2023,动漫设计,1,41,艺术设计系(学院),2,2
2023级土木工程1班,2023,土木工程,1,32,资源勘查与土木工程系(学院),7,5
2023级土木工程2班,2023,土木工程,2,40,资源勘查与土木工程系(学院),7,4
2023级土木工程3班,2023,土木工程,3,20,资源勘查与土木工程系(学院),8,4
2023级土木工程4班,2023,土木工程,4,25,资源勘查与土木工程系(学院),7,4
2023级土木工程5班,2023,土木工程,5,39,资源勘查与土木工程系(学院),7,4
2023级地质学1班,2023,地质学,1,46,资源勘查与土木工程系(学院),9,8
2023级城乡规划1班,2023,城乡规划,1,42,资源勘查与土木工程系(学院),11,8
2023级大数据与会计1班,2023,大数据与会计,1,39,经济系(学院),3,3
2023级大数据与会计2班,2023,大数据与会计,2,35,经济系(学院),3,3
2023级安全工程1班,2023,安全工程,1,36,资源勘查与土木工程系(学院),8,6
2023级安全工程2班,2023,安全工程,2,31,资源勘查与土木工程系(学院),9,7
2023级安全工程3班,2023,安全工程,3,26,资源勘查与土木工程系(学院),9,7
2023级审计学1班,2023,审计学,1,63,经济系(学院),8,8
2023级审计学2班,2023,审计学,2,61,经济系(学院),8,8
2023级工业设计1班,2023,工业设计,1,29,艺术设计系(学院),4,4
2023级工商管理1班,2023,工商管理,1,36,管理与传媒系(学院),10,10
2023级工商管理2班,2023,工商管理,2,38,管理与传媒系(学院),9,9
2023级工程管理1班,2023,工程管理,1,40,资源勘查与土木工程系(学院),11,7
2023级工程造价(本)1班,2023,工程造价(本),1,36,资源勘查与土木工程系(学院),11,7
2023级工程造价(本)2班,2023,工程造价(本),2,33,资源勘查与土木工程系(学院),11,7
2023级工程造价(本)3班,2023,工程造价(本),3,29,资源勘查与土木工程系(学院),11,8
2023级工程造价(本)4班,2023,工程造价(本),4,33,资源勘查与土木工程系(学院),11,7
2023级工程造价1班,2023,工程造价,1,36,资源勘查与土木工程系(学院),5,4
2023级工程造价2班,2023,工程造价,2,32,资源勘查与土木工程系(学院),5,4
2023级工程造价（本）5班,2023,工程造价（本）,5,26,资源勘查与土木工程系(学院),11,7
2023级工程造价（本）6班,2023,工程造价（本）,6,28,资源勘查与土木工程系(学院),11,7
2023级广告艺术设计1班,2023,广告艺术设计,1,39,艺术设计系(学院),3,2
2023级应用物理学1班,2023,应用物理学,1,36,核工程与新能源技术系(学院),6,8
2023级数字媒体技术1班,2023,数字媒体技术,1,48,电子信息与计算机工程系(学院),8,7
2023级数字媒体技术2班,2023,数字媒体技术,2,48,电子信息与计算机工程系(学院),8,8
2023级数字媒体艺术1班,2023,数字媒体艺术,1,41,艺术设计系(学院),1,1
2023级数字媒体艺术2班,2023,数字媒体艺术,2,41,艺术设计系(学院),1,1
2023级数字媒体艺术3班,2023,数字媒体艺术,3,24,艺术设计系(学院),1,1
2023级数字媒体艺术4班,2023,数字媒体艺术,4,24,艺术设计系(学院),1,1
2023级数据科学与大数据技术1班,2023,数据科学与大数据技术,1,54,电子信息与计算机工程系(学院),10,7
2023级数据科学与大数据技术2班,2023,数据科学与大数据技术,2,26,电子信息与计算机工程系(学院),9,8
2023级数据科学与大数据技术3班,2023,数据科学与大数据技术,3,29,电子信息与计算机工程系(学院),9,8
2023级新能源材料与器件1班,2023,新能源材料与器件,1,37,核工程与新能源技术系(学院),6,10
2023级智能制造工程1班,2023,智能制造工程,1,48,自动化工程系(学院),10,8
2023级智能建造1班,2023,智能建造,1,36,资源勘查与土木工程系(学院),9,6
2023级智能车辆工程1班,2023,智能车辆工程,1,40,自动化工程系(学院),8,7
2023级智能车辆工程2班,2023,智能车辆工程,2,28,自动化工程系(学院),6,5
2023级智能车辆工程3班,2023,智能车辆工程,3,29,自动化工程系(学院),6,5
2023级机器人工程1班,2023,机器人工程,1,35,自动化工程系(学院),13,6
2023级机械工程1班,2023,机械工程,1,43,自动化工程系(学院),9,7
2023级机械工程2班,2023,机械工程,2,27,自动化工程系(学院),5,3
2023级机械工程3班,2023,机械工程,3,32,自动化工程系(学院),5,4
2023级机械电子工程1班,2023,机械电子工程,1,18,自动化工程系(学院),8,6
2023级机械电子工程2班,2023,机械电子工程,2,20,自动化工程系(学院),7,5
2023级机械电子工程3班,2023,机械电子工程,3,27,自动化工程系(学院),7,5
2023级核工程与核技术1班,2023,核工程与核技术,1,29,核工程与新能源技术系(学院),7,9
2023级核工程与核技术2班,2023,核工程与核技术,2,29,核工程与新能源技术系(学院),7,10
2023级核工程与核技术3班,2023,核工程与核技术,3,36,核工程与新能源技术系(学院),7,12
2023级核工程与核技术4班,2023,核工程与核技术,4,37,核工程与新能源技术系(学院),7,13
2023级核工程与核技术5班,2023,核工程与核技术,5,26,核工程与新能源技术系(学院),7,11
2023级核工程与核技术6班,2023,核工程与核技术,6,29,核工程与新能源技术系(学院),7,11
2023级水利水电工程1班,2023,水利水电工程,1,39,核工程与新能源技术系(学院),8,9
2023级水利水电工程2班,2023,水利水电工程,2,35,核工程与新能源技术系(学院),9,9
2023级水利水电工程3班,2023,水利水电工程,3,33,核工程与新能源技术系(学院),9,9
2023级物流管理1班,2023,物流管理,1,34,管理与传媒系(学院),7,6
2023级物联网工程1班,2023,物联网工程,1,35,电子信息与计算机工程系(学院),10,11
2023级物联网工程2班,2023,物联网工程,2,29,电子信息与计算机工程系(学院),10,11
2023级环境工程1班,2023,环境工程,1,42,核工程与新能源技术系(学院),7,8
2023级环境工程2班,2023,环境工程,2,26,核工程与新能源技术系(学院),7,8
2023级环境工程3班,2023,环境工程,3,28,核工程与新能源技术系(学院),7,8
2023级环境艺术设计1班,2023,环境艺术设计,1,44,艺术设计系(学院),4,4
2023级环境设计1班,2023,环境设计,1,38,艺术设计系(学院),5,4
2023级环境设计2班,2023,环境设计,2,38,艺术设计系(学院),5,6
2023级环境设计3班,2023,环境设计,3,45,艺术设计系(学院),5,4
2023级电子信息工程1班,2023,电子信息工程,1,36,电子信息与计算机工程系(学院),8,8
2023级电子信息工程2班,2023,电子信息工程,2,36,电子信息与计算机工程系(学院),8,7
2023级电子商务(本)1班,2023,电子商务(本),1,34,管理与传媒系(学院),10,8
2023级电子商务（本）2班,2023,电子商务（本）,2,39,管理与传媒系(学院),10,8
2023级电子科学与技术1班,2023,电子科学与技术,1,52,电子信息与计算机工程系(学院),9,6
2023级电子科学与技术2班,2023,电子科学与技术,2,33,电子信息与计算机工程系(学院),6,5
2023级电子科学与技术3班,2023,电子科学与技术,3,34,电子信息与计算机工程系(学院),6,5
2023级电气创新1班,2023,电气创新,1,39,自动化工程系(学院),8,6
2023级电气工程及其自动化1班,2023,电气工程及其自动化,1,43,自动化工程系(学院),10,10
2023级电气工程及其自动化2班,2023,电气工程及其自动化,2,39,自动化工程系(学院),10,10
2023级电气工程及其自动化3班,2023,电气工程及其自动化,3,37,自动化工程系(学院),10,12
2023级电气工程及其自动化4班,2023,电气工程及其自动化,4,35,自动化工程系(学院),10,12
2023级电气工程及其自动化5班,2023,电气工程及其自动化,5,38,自动化工程系(学院),10,12
2023级电气工程及其自动化6班,2023,电气工程及其自动化,6,35,自动化工程系(学院),10,12
2023级电气工程及其自动化7班,2023,电气工程及其自动化,7,36,自动化工程系(学院),10,11
2023级电气工程及其自动化8班,2023,电气工程及其自动化,8,36,自动化工程系(学院),10,12
2023级社会体育1班,2023,社会体育,1,38,体育系(学院),10,11
2023级税收学1班,2023,税收学,1,48,经济系(学院),11,10
2023级网络与新媒体1班,2023,网络与新媒体,1,45,管理与传媒系(学院),8,7
2023级网络与新媒体2班,2023,网络与新媒体,2,44,管理与传媒系(学院),8,7
2023级网络与新媒体3班,2023,网络与新媒体,3,45,管理与传媒系(学院),8,7
2023级网络与新媒体4班,2023,网络与新媒体,4,42,管理与传媒系(学院),8,7
2023级网络与新媒体5班,2023,网络与新媒体,5,43,管理与传媒系(学院),7,6
2023级网络新闻与传播1班,2023,网络新闻与传播,1,23,管理与传媒系(学院),3,3
2023级网络新闻与传播2班,2023,网络新闻与传播,2,22,管理与传媒系(学院),3,3
2023级能源与动力工程1班,2023,能源与动力工程,1,54,核工程与新能源技术系(学院),7,14
2023级自动化1班,2023,自动化,1,39,自动化工程系(学院),8,7
2023级自动化2班,2023,自动化,2,26,自动化工程系(学院),8,7
2023级自动化3班,2023,自动化,3,32,自动化工程系(学院),5,5
2023级自动化4班,2023,自动化,4,33,自动化工程系(学院),5,5
2023级英语1班,2023,英语,1,36,外语系(学院),8,7
2023级英语2班,2023,英语,2,38,外语系(学院),8,7
2023级视觉传达设计1班,2023,视觉传达设计,1,42,艺术设计系(学院),5,5
2023级视觉传达设计2班,2023,视觉传达设计,2,40,艺术设计系(学院),5,5
2023级视觉传达设计3班,2023,视觉传达设计,3,43,艺术设计系(学院),5,5
2023级计算机应用技术1班,2023,计算机应用技术,1,30,电子信息与计算机工程系(学院),1,1
2023级计算机应用技术2班,2023,计算机应用技术,2,25,电子信息与计算机工程系(学院),1,1
2023级计算机科学与技术1班,2023,计算机科学与技术,1,46,电子信息与计算机工程系(学院),10,12
2023级计算机科学与技术2班,2023,计算机科学与技术,2,42,电子信息与计算机工程系(学院),10,12
2023级计算机科学与技术3班,2023,计算机科学与技术,3,43,电子信息与计算机工程系(学院),10,12
2023级计算机科学与技术4班,2023,计算机科学与技术,4,43,电子信息与计算机工程系(学院),10,12
2023级计算机科学与技术5班,2023,计算机科学与技术,5,30,电子信息与计算机工程系(学院),9,11
2023级计算机科学与技术6班,2023,计算机科学与技术,6,27,电子信息与计算机工程系(学院),9,11
2023级财务管理1班,2023,财务管理,1,50,经济系(学院),10,10
2023级财务管理2班,2023,财务管理,2,46,经济系(学院),10,9
2023级财务管理3班,2023,财务管理,3,42,经济系(学院),7,8
2023级软件工程1班,2023,软件工程,1,46,电子信息与计算机工程系(学院),7,6
2023级软件工程2班,2023,软件工程,2,46,电子信息与计算机工程系(学院),7,6
2023级软件工程3班,2023,软件工程,3,46,电子信息与计算机工程系(学院),7,6
2023级软件工程4班,2023,软件工程,4,47,电子信息与计算机工程系(学院),7,6
2023级软件工程5班,2023,软件工程,5,25,电子信息与计算机工程系(学院),4,4
2023级软件工程6班,2023,软件工程,6,25,电子信息与计算机工程系(学院),4,4
2023级通信工程1班,2023,通信工程,1,45,电子信息与计算机工程系(学院),9,8
2024级*数字媒体技术1班,2024,*数字媒体技术,1,50,电子信息与计算机工程系(学院),4,3
2024级产品设计1班,2024,产品设计,1,40,艺术设计系(学院),6,7
2024级产品设计2班,2024,产品设计,2,41,艺术设计系(学院),6,7
2024级人工智能1班,2024,人工智能,1,29,电子信息与计算机工程系(学院),9,8
2024级人工智能2班,2024,人工智能,2,28,电子信息与计算机工程系(学院),9,8
2024级人工智能3班,2024,人工智能,3,26,电子信息与计算机工程系(学院),9,8
2024级人工智能4班,2024,人工智能,4,28,电子信息与计算机工程系(学院),9,8
2024级休闲体育1班,2024,休闲体育,1,31,体育系(学院),8,9
2024级休闲体育2班,2024,休闲体育,2,31,体育系(学院),8,9
2024级休闲体育3班,2024,休闲体育,3,28,体育系(学院),8,9
2024级休闲体育4班,2024,休闲体育,4,32,体育系(学院),8,10
2024级休闲体育5班,2024,休闲体育,5,31,体育系(学院),8,11
2024级休闲体育6班,2024,休闲体育,6,27,体育系(学院),8,11
2024级会计学1班,2024,会计学,1,34,经济系(学院),4,5
2024级会计学2班,2024,会计学,2,36,经济系(学院),4,5
2024级会计学3班,2024,会计学,3,35,经济系(学院),4,5
2024级会计学4班,2024,会计学,4,34,经济系(学院),4,5
2024级会计学5班,2024,会计学,5,38,经济系(学院),4,6
2024级会计学6班,2024,会计学,6,37,经济系(学院),4,6
2024级会计学7班,2024,会计学,7,37,经济系(学院),4,6
2024级会计学8班,2024,会计学,8,35,经济系(学院),4,6
2024级会计学（数字创新）1班,2024,会计学（数字创新）,1,56,经济系(学院),5,6
2024级土木工程1班,2024,土木工程,1,24,资源勘查与土木工程系(学院),4,4
2024级土木工程2班,2024,土木工程,2,24,资源勘查与土木工程系(学院),4,4
2024级地质学1班,2024,地质学,1,23,资源勘查与土木工程系(学院),4,4
2024级地质学2班,2024,地质学,2,21,资源勘查与土木工程系(学院),4,4
2024级地质学3班,2024,地质学,3,21,资源勘查与土木工程系(学院),4,4
2024级地质学4班,2024,地质学,4,20,资源勘查与土木工程系(学院),4,4
2024级城乡规划1班,2024,城乡规划,1,21,资源勘查与土木工程系(学院),6,5
2024级城乡规划2班,2024,城乡规划,2,25,资源勘查与土木工程系(学院),6,5
2024级大数据与会计1班,2024,大数据与会计,1,3,经济系(学院),7,7
2024级安全工程1班,2024,安全工程,1,23,资源勘查与土木工程系(学院),5,6
2024级安全工程2班,2024,安全工程,2,25,资源勘查与土木工程系(学院),5,6
2024级审计学1班,2024,审计学,1,33,经济系(学院),5,6
2024级审计学2班,2024,审计学,2,32,经济系(学院),5,6
2024级审计学3班,2024,审计学,3,32,经济系(学院),5,5
2024级审计学4班,2024,审计学,4,32,经济系(学院),5,5
2024级审计学5班,2024,审计学,5,32,经济系(学院),5,6
2024级审计学6班,2024,审计学,6,32,经济系(学院),5,6
2024级工业设计1班,2024,工业设计,1,37,艺术设计系(学院),3,4
2024级工商管理1班,2024,工商管理,1,34,管理与传媒系(学院),6,6
2024级工商管理2班,2024,工商管理,2,24,管理与传媒系(学院),6,6
?级??班,?,?,?,12,,0,0
2024级工程造价(本)1班,2024,工程造价(本),1,20,资源勘查与土木工程系(学院),6,4
2024级工程造价(本)2班,2024,工程造价(本),2,25,资源勘查与土木工程系(学院),6,4
2024级工程造价(本)3班,2024,工程造价(本),3,25,资源勘查与土木工程系(学院),6,4
2024级工程造价(本)4班,2024,工程造价(本),4,20,资源勘查与土木工程系(学院),6,4
2024级应用物理学1班,2024,应用物理学,1,26,核工程与新能源技术系(学院),2,4
2024级应用物理学2班,2024,应用物理学,2,26,核工程与新能源技术系(学院),2,4
2024级数字媒体技术1班,2024,数字媒体技术,1,54,电子信息与计算机工程系(学院),4,4
2024级数字媒体技术2班,2024,数字媒体技术,2,54,电子信息与计算机工程系(学院),4,4
2024级数字媒体艺术1班,2024,数字媒体艺术,1,46,艺术设计系(学院),5,5
2024级数字媒体艺术2班,2024,数字媒体艺术,2,46,艺术设计系(学院),5,4
2024级数字媒体艺术3班,2024,数字媒体艺术,3,42,艺术设计系(学院),5,6
2024级数据科学与大数据技术1班,2024,数据科学与大数据技术,1,44,电子信息与计算机工程系(学院),6,6
2024级数据科学与大数据技术2班,2024,数据科学与大数据技术,2,43,电子信息与计算机工程系(学院),6,6
2024级数据科学与大数据技术3班,2024,数据科学与大数据技术,3,42,电子信息与计算机工程系(学院),6,6
2024级数据科学与大数据技术4班,2024,数据科学与大数据技术,4,43,电子信息与计算机工程系(学院),6,6
2024级新能源材料与器件1班,2024,新能源材料与器件,1,34,核工程与新能源技术系(学院),2,3
2024级新能源材料与器件2班,2024,新能源材料与器件,2,37,核工程与新能源技术系(学院),2,3
2024级智能制造工程1班,2024,智能制造工程,1,33,自动化工程系(学院),6,6
2024级智能制造工程2班,2024,智能制造工程,2,29,自动化工程系(学院),6,6
2024级智能建造1班,2024,智能建造,1,22,资源勘查与土木工程系(学院),8,7
2024级智能建造2班,2024,智能建造,2,17,资源勘查与土木工程系(学院),8,7
2024级智能车辆工程1班,2024,智能车辆工程,1,28,自动化工程系(学院),7,12
2024级智能车辆工程2班,2024,智能车辆工程,2,27,自动化工程系(学院),7,12
2024级智能车辆工程3班,2024,智能车辆工程,3,22,自动化工程系(学院),7,12
2024级智能车辆工程4班,2024,智能车辆工程,4,23,自动化工程系(学院),7,12
2024级机器人工程1班,2024,机器人工程,1,27,自动化工程系(学院),7,10
2024级机器人工程2班,2024,机器人工程,2,28,自动化工程系(学院),7,10
2024级机械工程1班,2024,机械工程,1,33,自动化工程系(学院),6,10
2024级机械工程2班,2024,机械工程,2,29,自动化工程系(学院),6,10
2024级机械电子工程1班,2024,机械电子工程,1,32,自动化工程系(学院),5,9
2024级机械电子工程2班,2024,机械电子工程,2,25,自动化工程系(学院),5,9
2024级核工程与核技术1班,2024,核工程与核技术,1,51,核工程与新能源技术系(学院),2,3
2024级核工程与核技术2班,2024,核工程与核技术,2,40,核工程与新能源技术系(学院),2,3
2024级核工程与核技术3班,2024,核工程与核技术,3,35,核工程与新能源技术系(学院),2,3
2024级核工程与核技术4班,2024,核工程与核技术,4,37,核工程与新能源技术系(学院),2,3
2024级核工程与核技术5班,2024,核工程与核技术,5,47,核工程与新能源技术系(学院),2,3
2024级核工程与核技术6班,2024,核工程与核技术,6,36,核工程与新能源技术系(学院),2,3
2024级核工程与核技术7班,2024,核工程与核技术,7,35,核工程与新能源技术系(学院),2,3
2024级核工程与核技术8班,2024,核工程与核技术,8,37,核工程与新能源技术系(学院),2,3
2024级水利水电工程1班,2024,水利水电工程,1,29,核工程与新能源技术系(学院),2,2
2024级水利水电工程2班,2024,水利水电工程,2,26,核工程与新能源技术系(学院),2,2
